"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_drug","p_value","adjusted_pvalue"
36,"cyclophosphamide mus musculus gpl13209 gse27423 chdir down",46,3,0,1,0,NA,NA
36,"cyclophosphamide mus musculus gpl13209 gds4005 chdir down",46,3,0,1,0,NA,NA
36,"valproic acid homo sapiens gpl570 gse14973 chdir down",46,3,0,2,0,NA,NA
36,"dexamethasone homo sapiens gpl8300 gse8546 chdir down",46,3,0,2,0,NA,NA
36,"dexamethasone mus musculus gpl339 gse2342 chdir down",46,3,0,1,0,NA,NA
36,"celecoxib homo sapiens gpl8300 gds3384 chdir down",46,3,0,1,1,NA,NA
36,"captopril mus musculus gpl1261 gds3683 chdir down",46,3,0,1,0,NA,NA
36,"vorinostat homo sapiens gpl571 gse18544 chdir down",46,3,0,1,0,NA,NA
36,"cyclophosphamide mus musculus gpl13209 gse27440 chdir down",46,3,0,1,0,NA,NA
36,"dexamethasone rattus norvegicus gpl1355 gse29912 chdir down",46,3,0,1,0,NA,NA
36,"doxorubicin homo sapiens gpl10558 gse42531 chdir down",46,3,0,4,0,NA,NA
36,"estradiol homo sapiens gpl6947 gse27375 chdir down",46,3,0,1,0,NA,NA
36,"deferasirox homo sapiens gpl570 gds3558 chdir down",46,3,0,3,0,NA,NA
43,"prednisolone homo sapiens gpl570 gse32962 chdir down",52,3,0,13,2,1.7156664158479e-07,0.000119753515826184
43,"ethanol homo sapiens gpl96 gds2767 chdir down",52,3,0,5,1,0.0087369944227794,0.677602456344447
43,"doxorubicin mus musculus gpl8321 gse17115 chdir down",52,3,0,4,0,0.000395142543503676,0.137904747682783
43,"rosiglitazone homo sapiens gpl570 gds2453 chdir down",52,3,0,4,0,0.0205666864610305,1
43,"celecoxib homo sapiens gpl8300 gse11237 chdir down",52,3,0,1,0,NA,NA
43,"enzalutamide homo sapiens gpl570 gse44905 chdir down",52,3,0,3,0,NA,NA
43,"imatinib homo sapiens gpl201 gds838 chdir down",52,3,0,2,0,NA,NA
43,"valproic acid homo sapiens gpl570 gse14973 chdir down",52,3,0,2,0,NA,NA
43,"dexamethasone homo sapiens gpl8300 gse8546 chdir down",52,3,0,1,0,NA,NA
43,"dexamethasone mus musculus gpl339 gse2342 chdir down",52,3,0,3,0,0.0209651627932976,1
43,"celecoxib homo sapiens gpl8300 gds3384 chdir down",52,3,0,1,0,NA,NA
43,"captopril mus musculus gpl1261 gds3683 chdir down",52,3,0,2,0,NA,NA
43,"probucol mus musculus gpl9526 gds3619 chdir down",52,3,0,1,0,NA,NA
43,"dexamethasone rattus norvegicus gpl1355 gse29912 chdir down",52,3,0,1,0,NA,NA
43,"doxorubicin homo sapiens gpl10558 gse42531 chdir down",52,3,0,1,0,NA,NA
43,"deferasirox homo sapiens gpl570 gds3558 chdir down",52,3,0,3,0,NA,NA
46,"prednisolone homo sapiens gpl570 gse32962 chdir down",84,4,0,26,2,4.49316478623565e-15,3.13622902079248e-12
46,"ethanol homo sapiens gpl96 gds2767 chdir down",84,4,0,15,2,4.49648017806757e-11,1.56927158214558e-08
46,"tocilizumab homo sapiens gpl6244 gse25160 chdir down",84,4,0,3,0,0.038010654341933,1
46,"doxorubicin mus musculus gpl8321 gse17115 chdir down",84,4,0,3,0,0.0185269204471684,0.80823690450772
46,"rosiglitazone homo sapiens gpl570 gds2453 chdir down",84,4,0,7,0,0.000290661543701553,0.0202881757503684
46,"celecoxib homo sapiens gpl8300 gse11237 chdir down",84,4,0,3,0,0.00550997995378531,0.274711857695867
46,"decitabine homo sapiens gpl96 gse19610 chdir down",84,4,0,4,0,0.00127414448623357,0.0741127376159196
46,"letrozole homo sapiens gpl3921 gse33366 chdir down",84,4,0,3,0,NA,NA
46,"dexamethasone homo sapiens gpl3921 gse28896 chdir down",84,4,0,3,0,NA,NA
46,"isotretinoin homo sapiens gpl8300 gds3215 chdir down",84,4,0,1,0,NA,NA
46,"enzalutamide homo sapiens gpl570 gse44905 chdir down",84,4,0,2,0,NA,NA
46,"imatinib homo sapiens gpl201 gds838 chdir down",84,4,0,2,0,NA,NA
46,"valproic acid mus musculus gpl6885 gse41020 chdir down",84,4,0,1,1,NA,NA
46,"vorinostat homo sapiens gpl6884 gse46703 chdir down",84,4,0,1,0,NA,NA
46,"cyclophosphamide mus musculus gpl13209 gse27423 chdir down",84,4,0,1,0,NA,NA
46,"cyclophosphamide mus musculus gpl13209 gds4005 chdir down",84,4,0,1,0,NA,NA
46,"tamoxifen homo sapiens gpl3921 gse33366 chdir down",84,4,0,1,0,NA,NA
46,"valproic acid homo sapiens gpl570 gse14973 chdir down",84,4,0,4,1,NA,NA
46,"dexamethasone homo sapiens gpl8300 gse8546 chdir down",84,4,0,1,0,NA,NA
46,"dexamethasone mus musculus gpl339 gse2342 chdir down",84,4,0,1,0,NA,NA
46,"vorinostat homo sapiens gpl571 gse18544 chdir down",84,4,0,3,0,NA,NA
46,"probucol mus musculus gpl9526 gds3619 chdir down",84,4,0,2,0,NA,NA
46,"cyclophosphamide mus musculus gpl13209 gse27440 chdir down",84,4,0,2,0,NA,NA
46,"cyclophosphamide mus musculus gpl13209 gse27422 chdir down",84,4,0,1,0,NA,NA
46,"dexamethasone rattus norvegicus gpl1355 gse29912 chdir down",84,4,0,3,0,NA,NA
46,"doxorubicin homo sapiens gpl10558 gse42531 chdir down",84,4,0,4,0,NA,NA
46,"estradiol homo sapiens gpl6947 gse27375 chdir down",84,4,0,1,0,NA,NA
46,"deferasirox homo sapiens gpl570 gds3558 chdir down",84,4,0,6,0,NA,NA
47,"prednisolone homo sapiens gpl570 gse32962 chdir down",82,4,0,15,2,7.86891837500152e-06,0.000610278336194563
47,"ethanol homo sapiens gpl96 gds2767 chdir down",82,4,0,7,1,0.000293867204719038,0.012819956805868
47,"tocilizumab homo sapiens gpl6244 gse25160 chdir down",82,4,0,4,0,0.00594824570499695,0.133931467809286
47,"doxorubicin mus musculus gpl8321 gse17115 chdir down",82,4,0,2,0,NA,NA
47,"rosiglitazone homo sapiens gpl570 gds2453 chdir down",82,4,0,9,0,4.00683515136463e-05,0.00233064244637709
47,"celecoxib homo sapiens gpl8300 gse11237 chdir down",82,4,0,6,0,1.33256096186678e-06,0.000116265943922877
47,"decitabine homo sapiens gpl96 gse19610 chdir down",82,4,0,1,0,NA,NA
47,"letrozole homo sapiens gpl3921 gse33366 chdir down",82,4,0,3,0,NA,NA
47,"isotretinoin homo sapiens gpl8300 gds3215 chdir down",82,4,0,2,0,NA,NA
47,"enzalutamide homo sapiens gpl570 gse44905 chdir down",82,4,0,9,1,0.00121721504073858,0.0386189135652513
