"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"92","LJP007 HEPG2 24H-dinaciclib-1.11-up","1/53",0.0105586221262761,0.0378166400094538,0,0,127.846153846154,581.80387368109,"TKTL1"
"93","LJP006 MDAMB231 24H-QL-X-138-10-up","1/54",0.0107570350302104,0.0378166400094538,0,0,125.427672955975,568.462711997524,"TKTL1"
"94","CPC009 MCF7 6H-BRD-K37150847-10.0-up","1/55",0.0109554181035787,0.0378166400094538,0,0,123.098765432099,555.658119729102,"MECP2"
"95","LJP006 A549 24H-AS-605240-1.11-up","1/57",0.0113520947683085,0.0378166400094538,0,0,118.690476190476,531.537849050783,"TKTL1"
"96","LJP008 HCC515 24H-pracinostat-0.04-up","1/57",0.0113520947683085,0.0378166400094538,0,0,118.690476190476,531.537849050783,"TKTL1"
"97","LJP009 HA1E 24H-BI-2536-10-up","1/59",0.0117486521426567,0.0378166400094538,0,0,114.586206896552,509.223023481694,"TKTL1"
"98","LJP006 SKBR3 3H-mitoxantrone-10-up","1/59",0.0117486521426567,0.0378166400094538,0,0,114.586206896552,509.223023481694,"TKTL1"
"99","LJP005 MCF7 3H-crizotinib-3.33-up","1/60",0.0119468861025563,0.0378166400094538,0,0,112.638418079096,498.682335053748,"TKTL1"
"100","LJP008 HT29 24H-mitoxantrone-10-up","1/61",0.0121450902474313,0.0378166400094538,0,0,110.755555555556,488.523958756801,"TKTL1"
"101","LJP008 HEPG2 24H-belinostat-0.12-up","1/67",0.0133336891739785,0.0378166400094538,0,0,100.656565656566,434.58083948016,"TKTL1"
"102","LJP007 HEPG2 24H-dinaciclib-10-up","1/68",0.0135316846971434,0.0378166400094538,0,0,99.1492537313433,426.611608771532,"TKTL1"
"103","LJP006 HME1 3H-WYE-125132-0.04-up","1/68",0.0135316846971434,0.0378166400094538,0,0,99.1492537313433,426.611608771532,"TKTL1"
"104","LJP006 SKBR3 3H-JW-7-24-1-1.11-up","1/68",0.0135316846971434,0.0378166400094538,0,0,99.1492537313433,426.611608771532,"TKTL1"
"105","LJP007 HEPG2 24H-DCC-2036-10-up","1/70",0.013927586368182,0.0378166400094538,0,0,96.2657004830918,411.428415366268,"TKTL1"
"106","LJP005 SKBR3 3H-TG-101348-10-up","1/70",0.013927586368182,0.0378166400094538,0,0,96.2657004830918,411.428415366268,"TKTL1"
"107","LJP005 MCF7 24H-NU-7441-10-up","1/70",0.013927586368182,0.0378166400094538,0,0,96.2657004830918,411.428415366268,"TKTL1"
"108","CPC006 RMGI 6H-pp-110-22.2-up","1/70",0.013927586368182,0.0378166400094538,0,0,96.2657004830918,411.428415366268,"MECP2"
"109","LJP006 MCF7 24H-mitoxantrone-0.12-up","1/71",0.0141254925238032,0.0378166400094538,0,0,94.8857142857143,404.191711363937,"TKTL1"
"110","LJP005 PC3 24H-mitoxantrone-1.11-up","1/71",0.0141254925238032,0.0378166400094538,0,0,94.8857142857143,404.191711363937,"TKTL1"
"111","LJP006 SKBR3 24H-ZSTK-474-0.37-up","1/74",0.0147190322987359,0.0378166400094538,0,0,90.972602739726,383.778287202741,"TKTL1"
"112","LJP007 HEPG2 24H-CGP-60474-0.37-up","1/75",0.0149168193344818,0.0378166400094538,0,0,89.7387387387387,377.375256874202,"TKTL1"
"113","LJP005 A549 24H-PD-184352-1.11-up","1/76",0.0151145765997521,0.0378166400094538,0,0,88.5377777777778,371.158834239914,"TKTL1"
"114","LJP006 SKBR3 3H-XMD11-85H-10-up","1/78",0.0155100018241852,0.0378166400094538,0,0,86.2294372294372,359.255133327643,"TKTL1"
"115","LJP006 HEPG2 24H-PHA-793887-10-up","1/78",0.0155100018241852,0.0378166400094538,0,0,86.2294372294372,359.255133327643,"TKTL1"
"116","LJP005 HS578T 24H-NVP-BEZ235-0.04-up","1/78",0.0155100018241852,0.0378166400094538,0,0,86.2294372294372,359.255133327643,"TKTL1"
"117","LJP008 MCF7 24H-GSK-1059615-3.33-up","1/78",0.0155100018241852,0.0378166400094538,0,0,86.2294372294372,359.255133327643,"TKTL1"
"118","CPC019 HA1E 6H-BRD-K96076993-10.0-up","1/79",0.015707669790035,0.0378166400094538,0,0,85.1196581196581,353.553536665299,"MECP2"
"119","LJP006 MCF7 24H-AZD-8055-0.37-up","1/79",0.015707669790035,0.0378166400094538,0,0,85.1196581196581,353.553536665299,"TKTL1"
"120","LJP007 HEPG2 24H-mitoxantrone-10-up","1/81",0.0161029164419929,0.0378166400094538,0,0,82.9833333333333,342.617842286989,"TKTL1"
"121","CPC014 PC3 6H-hy-10459-10.0-up","1/81",0.0161029164419929,0.0378166400094538,0,0,82.9833333333333,342.617842286989,"MECP2"
"122","LJP008 HCC515 24H-pracinostat-10-up","1/81",0.0161029164419929,0.0378166400094538,0,0,82.9833333333333,342.617842286989,"TKTL1"
"123","LJP008 HT29 24H-I-BET151-1.11-up","1/84",0.016695563263871,0.0378166400094538,0,0,79.9718875502008,327.293928057381,"TKTL1"
